incident_number,call_type,incident_date,location,beat,reporting_district,received_time,cleared_time,disposition,latitude,longitude,:@computed_region_28yu_qtqf,:@computed_region_a96n_jaww,map_point.latitude,map_point.longitude
220027358,Suspicious Person,2022-03-23T00:00:00.000,800BLK OZONE ST ,B002,0B2A,2022-03-23T00:02:55.000,2022-03-23T00:18:55.000,Gone on Arrival,34.00244749030896,-118.47086970245829,363,17,34.002447490309,-118.470869702458
220027355,Disturbance at a Business,2022-03-22T00:00:00.000,1300BLK 20TH ST ,B003,0B3A,2022-03-22T23:43:26.000,2022-03-23T00:00:33.000,Advisal,34.029348433412224,-118.48079776393756,364,8,34.0293484334122,-118.480797763938
220027284,Fight,2022-03-22T00:00:00.000,OCEAN AVE / SANTA MONICA BLVD,B001,0B1L,2022-03-22T19:25:05.000,2022-03-22T23:54:16.000,Other,34.014093364588625,-118.49800682827399,368,15,34.0140933645886,-118.498006828274
220027320,Traffic/Vehicle Stop,2022-03-22T00:00:00.000,2ND ST / ARIZONA AVE ,B001,0B1K,2022-03-22T21:27:08.000,2022-03-22T23:54:08.000,Other,34.0162237714109,-118.49860928081736,368,15,34.0162237714109,-118.498609280817
220027248,Follow Up,2022-03-22T00:00:00.000,28500BLK ROCK CANYON DR,9999,9999,2022-03-22T17:32:27.000,2022-03-22T23:53:57.000,Other,,,,,,
220027356,Periodic Check,2022-03-22T00:00:00.000,1100BLK 4TH ST ,B001,0B1M,2022-03-22T23:43:29.000,2022-03-22T23:49:28.000,Checks Okay,34.01980049876768,-118.49910636100442,365,6,34.0198004987677,-118.499106361004
220027350,Loitering,2022-03-22T00:00:00.000,1100BLK 16TH ST ,B004,0B4E,2022-03-22T23:30:38.000,2022-03-22T23:42:14.000,Gone on Arrival,34.029001612525015,-118.48776081846044,365,7,34.029001612525,-118.48776081846
220027353,Periodic Check,2022-03-22T00:00:00.000,1500BLK 4TH ST ,B001,0B1I,2022-03-22T23:40:05.000,2022-03-22T23:41:08.000,Checks Okay,34.014404131618193,-118.49279993798227,368,15,34.0144041316182,-118.492799937982
220027345,Auto Burglary Now,2022-03-22T00:00:00.000,600BLK SANTA MONICA BLVD ,B001,0B1J,2022-03-22T23:15:49.000,2022-03-22T23:40:12.000,Unfounded,34.018329475118719,-118.49278831921336,368,15,34.0183294751187,-118.492788319213
220027351,Periodic Check,2022-03-22T00:00:00.000,1500BLK 4TH ST ,B001,0B1I,2022-03-22T23:34:53.000,2022-03-22T23:39:00.000,Checks Okay,34.014404131618193,-118.49279993798227,368,15,34.0144041316182,-118.492799937982
